,region_code,region_name,timestamp,price
0,16,North West,00:00 01-01-2020,10.88
1,16,North West,00:30 01-01-2020,10.88
2,16,North West,01:00 01-01-2020,10.88
3,16,North West,01:30 01-01-2020,10.88
4,16,North West,02:00 01-01-2020,10.88
5,16,North West,02:30 01-01-2020,10.88
6,16,North West,03:00 01-01-2020,10.88
7,16,North West,03:30 01-01-2020,10.88
8,16,North West,04:00 01-01-2020,10.88
9,16,North West,04:30 01-01-2020,10.88
10,16,North West,05:00 01-01-2020,10.88
11,16,North West,05:30 01-01-2020,10.88
12,16,North West,06:00 01-01-2020,10.88
13,16,North West,06:30 01-01-2020,10.88
14,16,North West,07:00 01-01-2020,11.23
15,16,North West,07:30 01-01-2020,11.23
16,16,North West,08:00 01-01-2020,11.23
17,16,North West,08:30 01-01-2020,11.23
18,16,North West,09:00 01-01-2020,11.23
19,16,North West,09:30 01-01-2020,11.23
20,16,North West,10:00 01-01-2020,11.23
21,16,North West,10:30 01-01-2020,11.23
22,16,North West,11:00 01-01-2020,11.23
23,16,North West,11:30 01-01-2020,11.23
24,16,North West,12:00 01-01-2020,11.23
25,16,North West,12:30 01-01-2020,11.23
26,16,North West,13:00 01-01-2020,11.23
27,16,North West,13:30 01-01-2020,11.23
28,16,North West,14:00 01-01-2020,11.23
29,16,North West,14:30 01-01-2020,11.23
30,16,North West,15:00 01-01-2020,11.23
31,16,North West,15:30 01-01-2020,11.23
32,16,North West,16:00 01-01-2020,26.24
33,16,North West,16:30 01-01-2020,26.24
34,16,North West,17:00 01-01-2020,26.24
35,16,North West,17:30 01-01-2020,26.24
36,16,North West,18:00 01-01-2020,26.24
37,16,North West,18:30 01-01-2020,26.24
38,16,North West,19:00 01-01-2020,10.93
39,16,North West,19:30 01-01-2020,10.93
40,16,North West,20:00 01-01-2020,10.93
41,16,North West,20:30 01-01-2020,10.93
42,16,North West,21:00 01-01-2020,10.93
43,16,North West,21:30 01-01-2020,10.93
44,16,North West,22:00 01-01-2020,10.93
45,16,North West,22:30 01-01-2020,10.93
46,16,North West,23:00 01-01-2020,10.88
47,16,North West,23:30 01-01-2020,10.88
48,16,North West,00:00 02-01-2020,11.36
49,16,North West,00:30 02-01-2020,11.36
50,16,North West,01:00 02-01-2020,11.36
51,16,North West,01:30 02-01-2020,11.36
52,16,North West,02:00 02-01-2020,11.36
53,16,North West,02:30 02-01-2020,11.36
54,16,North West,03:00 02-01-2020,11.36
55,16,North West,03:30 02-01-2020,11.36
56,16,North West,04:00 02-01-2020,11.36
57,16,North West,04:30 02-01-2020,11.36
58,16,North West,05:00 02-01-2020,11.36
59,16,North West,05:30 02-01-2020,11.36
60,16,North West,06:00 02-01-2020,11.36
61,16,North West,06:30 02-01-2020,11.36
62,16,North West,07:00 02-01-2020,12.01
63,16,North West,07:30 02-01-2020,12.01
64,16,North West,08:00 02-01-2020,12.01
65,16,North West,08:30 02-01-2020,12.01
66,16,North West,09:00 02-01-2020,12.01
67,16,North West,09:30 02-01-2020,12.01
68,16,North West,10:00 02-01-2020,12.01
69,16,North West,10:30 02-01-2020,12.01
70,16,North West,11:00 02-01-2020,12.01
71,16,North West,11:30 02-01-2020,12.01
72,16,North West,12:00 02-01-2020,12.01
73,16,North West,12:30 02-01-2020,12.01
74,16,North West,13:00 02-01-2020,12.01
75,16,North West,13:30 02-01-2020,12.01
76,16,North West,14:00 02-01-2020,12.01
77,16,North West,14:30 02-01-2020,12.01
78,16,North West,15:00 02-01-2020,12.01
79,16,North West,15:30 02-01-2020,12.01
80,16,North West,16:00 02-01-2020,27.02
81,16,North West,16:30 02-01-2020,27.02
82,16,North West,17:00 02-01-2020,27.02
83,16,North West,17:30 02-01-2020,27.02
84,16,North West,18:00 02-01-2020,27.02
85,16,North West,18:30 02-01-2020,27.02
86,16,North West,19:00 02-01-2020,11.41
87,16,North West,19:30 02-01-2020,11.41
