,region_code,region_name,timestamp,price
0,22,South Western,00:00 01-01-2020,10.88
1,22,South Western,00:30 01-01-2020,10.88
2,22,South Western,01:00 01-01-2020,10.88
3,22,South Western,01:30 01-01-2020,10.88
4,22,South Western,02:00 01-01-2020,10.88
5,22,South Western,02:30 01-01-2020,10.88
6,22,South Western,03:00 01-01-2020,10.88
7,22,South Western,03:30 01-01-2020,10.88
8,22,South Western,04:00 01-01-2020,10.88
9,22,South Western,04:30 01-01-2020,10.88
10,22,South Western,05:00 01-01-2020,10.88
11,22,South Western,05:30 01-01-2020,10.88
12,22,South Western,06:00 01-01-2020,10.88
13,22,South Western,06:30 01-01-2020,10.88
14,22,South Western,07:00 01-01-2020,11.23
15,22,South Western,07:30 01-01-2020,11.23
16,22,South Western,08:00 01-01-2020,11.23
17,22,South Western,08:30 01-01-2020,11.23
18,22,South Western,09:00 01-01-2020,11.23
19,22,South Western,09:30 01-01-2020,11.23
20,22,South Western,10:00 01-01-2020,11.23
21,22,South Western,10:30 01-01-2020,11.23
22,22,South Western,11:00 01-01-2020,11.23
23,22,South Western,11:30 01-01-2020,11.23
24,22,South Western,12:00 01-01-2020,11.23
25,22,South Western,12:30 01-01-2020,11.23
26,22,South Western,13:00 01-01-2020,11.23
27,22,South Western,13:30 01-01-2020,11.23
28,22,South Western,14:00 01-01-2020,11.23
29,22,South Western,14:30 01-01-2020,11.23
30,22,South Western,15:00 01-01-2020,11.23
31,22,South Western,15:30 01-01-2020,11.23
32,22,South Western,16:00 01-01-2020,26.24
33,22,South Western,16:30 01-01-2020,26.24
34,22,South Western,17:00 01-01-2020,26.24
35,22,South Western,17:30 01-01-2020,26.24
36,22,South Western,18:00 01-01-2020,26.24
37,22,South Western,18:30 01-01-2020,26.24
38,22,South Western,19:00 01-01-2020,10.93
39,22,South Western,19:30 01-01-2020,10.93
40,22,South Western,20:00 01-01-2020,10.93
41,22,South Western,20:30 01-01-2020,10.93
42,22,South Western,21:00 01-01-2020,10.93
43,22,South Western,21:30 01-01-2020,10.93
44,22,South Western,22:00 01-01-2020,10.93
45,22,South Western,22:30 01-01-2020,10.93
46,22,South Western,23:00 01-01-2020,10.88
47,22,South Western,23:30 01-01-2020,10.88
48,22,South Western,00:00 02-01-2020,11.36
49,22,South Western,00:30 02-01-2020,11.36
50,22,South Western,01:00 02-01-2020,11.36
51,22,South Western,01:30 02-01-2020,11.36
52,22,South Western,02:00 02-01-2020,11.36
53,22,South Western,02:30 02-01-2020,11.36
54,22,South Western,03:00 02-01-2020,11.36
55,22,South Western,03:30 02-01-2020,11.36
56,22,South Western,04:00 02-01-2020,11.36
57,22,South Western,04:30 02-01-2020,11.36
58,22,South Western,05:00 02-01-2020,11.36
59,22,South Western,05:30 02-01-2020,11.36
60,22,South Western,06:00 02-01-2020,11.36
61,22,South Western,06:30 02-01-2020,11.36
62,22,South Western,07:00 02-01-2020,12.01
63,22,South Western,07:30 02-01-2020,12.01
64,22,South Western,08:00 02-01-2020,12.01
65,22,South Western,08:30 02-01-2020,12.01
66,22,South Western,09:00 02-01-2020,12.01
67,22,South Western,09:30 02-01-2020,12.01
68,22,South Western,10:00 02-01-2020,12.01
69,22,South Western,10:30 02-01-2020,12.01
70,22,South Western,11:00 02-01-2020,12.01
71,22,South Western,11:30 02-01-2020,12.01
72,22,South Western,12:00 02-01-2020,12.01
73,22,South Western,12:30 02-01-2020,12.01
74,22,South Western,13:00 02-01-2020,12.01
75,22,South Western,13:30 02-01-2020,12.01
76,22,South Western,14:00 02-01-2020,12.01
77,22,South Western,14:30 02-01-2020,12.01
78,22,South Western,15:00 02-01-2020,12.01
79,22,South Western,15:30 02-01-2020,12.01
80,22,South Western,16:00 02-01-2020,27.02
81,22,South Western,16:30 02-01-2020,27.02
82,22,South Western,17:00 02-01-2020,27.02
83,22,South Western,17:30 02-01-2020,27.02
84,22,South Western,18:00 02-01-2020,27.02
85,22,South Western,18:30 02-01-2020,27.02
86,22,South Western,19:00 02-01-2020,11.41
87,22,South Western,19:30 02-01-2020,11.41
88,22,South Western,20:00 02-01-2020,11.41
89,22,South Western,20:30 02-01-2020,11.41
90,22,South Western,21:00 02-01-2020,11.41
91,22,South Western,21:30 02-01-2020,11.41
92,22,South Western,22:00 02-01-2020,11.41
93,22,South Western,22:30 02-01-2020,11.41
94,22,South Western,23:00 02-01-2020,11.36
95,22,South Western,23:30 02-01-2020,11.36
96,22,South Western,00:00 03-01-2020,12.15
97,22,South Western,00:30 03-01-2020,12.15
98,22,South Western,01:00 03-01-2020,12.15
