name,region,country,lat,lon,tz_id,localtime_epoch,localtime,last_updated_epoch,last_updated,temp_c,temp_f,is_day,condition.text,condition.icon,condition.code,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,uv,gust_mph,gust_kph
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1669990530,2022-12-02 15:15,1669989600,2022-12-02 15:00,-3.0,26.6,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,1009,9.4,15.1,90,E,1028.0,30.36,0.0,0.0,80,100,-7.5,18.5,10.0,6.0,2.0,11.0,17.6
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1670005676,2022-12-02 19:27,1670004900,2022-12-02 19:15,-4.0,24.8,0,Light freezing rain,//cdn.weatherapi.com/weather/64x64/night/311.png,1198,10.5,16.9,90,E,1029.0,30.39,0.0,0.0,93,100,-8.9,16.0,6.0,3.0,1.0,11.2,18.0
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1669993743,2022-12-02 16:09,1669993200,2022-12-02 16:00,-3.0,26.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,9.4,15.1,90,E,1028.0,30.36,0.0,0.0,86,100,-7.5,18.5,10.0,6.0,1.0,11.9,19.1
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1670007183,2022-12-02 19:53,1670006700,2022-12-02 19:45,-4.0,24.8,0,Light snow,//cdn.weatherapi.com/weather/64x64/night/326.png,1213,8.1,13.0,70,ENE,1029.0,30.39,0.0,0.0,100,100,-8.9,16.0,6.0,3.0,1.0,11.2,18.0
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1669990810,2022-12-02 15:20,1669990500,2022-12-02 15:15,-3.0,26.6,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,1009,9.4,15.1,70,ENE,1028.0,30.36,0.0,0.0,80,100,-7.5,18.5,10.0,6.0,2.0,11.0,17.6
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1669997135,2022-12-02 17:05,1669996800,2022-12-02 17:00,-3.0,26.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,9.4,15.1,70,ENE,1028.0,30.36,0.0,0.0,86,100,-7.7,18.2,9.0,5.0,1.0,12.3,19.8
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1670000964,2022-12-02 18:09,1670000400,2022-12-02 18:00,-4.0,24.8,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,10.5,16.9,90,E,1028.0,30.36,0.0,0.0,93,100,-8.9,16.0,7.0,4.0,1.0,11.9,19.1
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1669991764,2022-12-02 15:36,1669991400,2022-12-02 15:30,-3.0,26.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,9.4,15.1,70,ENE,1028.0,30.36,0.0,0.0,80,100,-7.5,18.5,10.0,6.0,2.0,11.0,17.6
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1669998019,2022-12-02 17:20,1669997700,2022-12-02 17:15,-3.0,26.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,10.5,16.9,70,ENE,1028.0,30.36,0.0,0.0,86,100,-7.7,18.2,8.0,4.0,1.0,12.3,19.8
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1670004984,2022-12-02 19:16,1670004000,2022-12-02 19:00,-4.0,24.8,0,Light freezing rain,//cdn.weatherapi.com/weather/64x64/night/311.png,1198,9.4,15.1,70,ENE,1029.0,30.39,0.0,0.0,93,100,-8.9,16.0,6.0,3.0,1.0,11.2,18.0
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1669996148,2022-12-02 16:49,1669995900,2022-12-02 16:45,-3.0,26.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,9.4,15.1,70,ENE,1028.0,30.36,0.0,0.0,86,100,-7.5,18.5,9.0,5.0,1.0,11.9,19.1
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1669999220,2022-12-02 17:40,1669998600,2022-12-02 17:30,-3.0,26.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,10.5,16.9,70,ENE,1028.0,30.36,0.0,0.0,86,100,-7.7,18.2,8.0,4.0,1.0,12.3,19.8
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1669996734,2022-12-02 16:58,1669995900,2022-12-02 16:45,-3.0,26.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,9.4,15.1,70,ENE,1028.0,30.36,0.0,0.0,86,100,-7.5,18.5,9.0,5.0,1.0,11.9,19.1
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1670007863,2022-12-02 20:04,1670007600,2022-12-02 20:00,-4.0,24.8,0,Light snow,//cdn.weatherapi.com/weather/64x64/night/326.png,1213,8.1,13.0,70,ENE,1029.0,30.39,0.0,0.0,100,100,-8.8,16.2,6.0,3.0,1.0,11.2,18.0
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1669999630,2022-12-02 17:47,1669998600,2022-12-02 17:30,-3.0,26.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,10.5,16.9,70,ENE,1028.0,30.36,0.0,0.0,86,100,-7.6,18.4,8.0,4.0,1.0,11.6,18.7
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1670009199,2022-12-02 20:26,1670008500,2022-12-02 20:15,-3.0,26.6,0,Light freezing rain,//cdn.weatherapi.com/weather/64x64/night/311.png,1198,8.1,13.0,70,ENE,1028.0,30.36,0.0,0.0,93,100,-7.6,18.4,6.0,3.0,1.0,11.2,18.0
Warsaw,,Poland,52.25,21.0,Europe/Warsaw,1670008093,2022-12-02 20:08,1670007600,2022-12-02 20:00,-4.0,24.8,0,Light snow,//cdn.weatherapi.com/weather/64x64/night/326.png,1213,8.1,13.0,70,ENE,1029.0,30.39,0.0,0.0,100,100,-8.8,16.2,6.0,3.0,1.0,11.2,18.0
