,Price,Price per m2,Rooms,Size M2,URL,Location
0,1 699 000 zł,11 717 zł/m²,5 pokoi,145 m²,https://www.otodom.pl/pl/oferta/sprzedam-dom-w-krakowie-145m2-ul-witkowicka-ID4jAY4,"Kraków, Prądnik Biały, ul. Witkowicka"
1,1 920 000 zł,9979 zł/m²,5 pokoi,192.4 m²,https://www.otodom.pl/pl/oferta/krakow-tyniec-jacuzzi-swim-spa-ID4hwJK,"Kraków, Dębniki, Tyniec"
2,820 000 zł,5942 zł/m²,5 pokoi,138 m²,https://www.otodom.pl/pl/oferta/dom-z-dzialka-krakow-ul-wyrwa-ID49F7W,"Kraków, Podgórze, Wyrwa"
3,549 000 zł,8015 zł/m²,3 pokoje,68.5 m²,https://www.otodom.pl/pl/oferta/zainwestuj-w-wioske-wakacyjna-zwrot-7-9-ID4jGVA,"Kraków, małopolskie"
4,1 200 000 zł,4688 zł/m²,10+ pokoi,256 m²,https://www.otodom.pl/pl/oferta/sprzedam-nieruchomosc-256m2-uzytkowej-podgorze-ID4jIaF,"Kraków, Podgórze, ul. Krzywda"
5,7 900 000 zł,7900 zł/m²,10+ pokoi,1000 m²,https://www.otodom.pl/pl/oferta/luksusowa-rezydencja-z-wlasnym-spa-ID4iViW,"Kraków, Zwierzyniec, Wola Justowska, ul. Orla"
6,4 950 000 zł,8250 zł/m²,6 pokoi,600 m²,https://www.otodom.pl/pl/oferta/wola-justowska-aleja-kasztanowa-ID4gZp4,"Kraków, Zwierzyniec, Wola Justowska"
7,2 190 000 zł,12 882 zł/m²,5 pokoi,170 m²,https://www.otodom.pl/pl/oferta/zgrabny-dom-z-widokiem-na-las-wolski-ID4iLCX,"Kraków, Zwierzyniec, Wola Justowska"
8,1 099 000 zł,5784 zł/m²,7 pokoi,190 m²,https://www.otodom.pl/pl/oferta/dom-w-zielonej-i-spokojnej-okolicy-ID4gygg,"Kraków, Podgórze Duchackie, Piaski Wielkie, Powały z Taczewa"
9,2 590 000 zł,13 850 zł/m²,6 pokoi,187 m²,https://www.otodom.pl/pl/oferta/luksusowy-dom-na-krakowskich-bielanach-ID4jI0g,"Kraków, Zwierzyniec, Bielany"
10,1 750 000 zł,6162 zł/m²,6 pokoi,284 m²,https://www.otodom.pl/pl/oferta/dom-wolnostojacy-libertow-k-krakowa-garaz-2-auta-ID4iPK0,"Kraków, Swoszowice, Opatkowice"
11,845 742 zł,6200 zł/m²,5 pokoi,136.41 m²,https://www.otodom.pl/pl/oferta/gotowe-5-pokoi-136-m2-ogrod-202-m2-ID4iXoB,"Kraków, Dębniki, Sidzina, Leona Petrażyckiego"
12,"753 382,50 zł",5495 zł/m²,4 pokoje,137.11 m²,https://www.otodom.pl/pl/oferta/petrazyckiego-154-dom-z-ogrodkiem-137-m2-ID4jzFr,"Kraków, Swoszowice, Opatkowice, Leona Petrażyckiego"
13,4 999 999 zł,12 500 zł/m²,10+ pokoi,400 m²,https://www.otodom.pl/pl/oferta/piekna-kamienica-ul-sowinskiego-grzegorzki-ID4jHSs,"Kraków, Grzegórzki"
14,1 699 000 zł,11 717 zł/m²,5 pokoi,145 m²,https://www.otodom.pl/pl/oferta/sprzedam-dom-w-krakowie-145m2-ul-witkowicka-ID4jAY4,"Kraków, Prądnik Biały, ul. Witkowicka"
15,1 400 000 zł,11 667 zł/m²,4 pokoje,120 m²,https://www.otodom.pl/pl/oferta/przytulny-drewniany-dom-szuka-nowego-wlasciciela-ID4jnSf,"Kraków, Podgórze, Mała Góra"
16,1 650 000 zł,8250 zł/m²,5 pokoi,200 m²,https://www.otodom.pl/pl/oferta/dom-w-swoszowicach-ID4jpdx,"Kraków, Swoszowice, ul. Kazimierza Moszyńskiego"
17,659 000 zł,5345 zł/m²,3 pokoje,123.3 m²,https://www.otodom.pl/pl/oferta/dom-blizniak-krakow-nowa-huta-koscielniki-ID4egkd,"Kraków, Nowa Huta, ul. Kościelnicka"
18,1 350 000 zł,9000 zł/m²,5 pokoi,150 m²,https://www.otodom.pl/pl/oferta/wyjatkowy-dom-przy-lesie-w-tyncu-bez-2-pcc-ID4iXdp,"Kraków, Podgórze"
19,1 250 000 zł,8896 zł/m²,4 pokoje,140.52 m²,https://www.otodom.pl/pl/oferta/dom-z-gotowym-ogrodem-na-wzgorzach-krzeslawickich-ID4iUOQ,"Kraków, małopolskie"
20,1 698 600 zł,11 400 zł/m²,6 pokoi,149 m²,https://www.otodom.pl/pl/oferta/lagiewniki-ul-totus-tuus-tesoro-verde-residence-ID49Vuy,"Kraków, Podgórze, ul. Totus Tuus"
21,549 000 zł,3431 zł/m²,6 pokoi,160 m²,https://www.otodom.pl/pl/oferta/dom-wolnostojacy-nowa-huta-na-dzialalnosc-inwe-ID4jHzx,"Kraków, Nowa Huta, Kościelniki"
22,699 000 zł,8128 zł/m²,4 pokoje,86 m²,https://www.otodom.pl/pl/oferta/okazja-domy-w-kryspinowie-4-pokoje-2-5ar-ID4eGMW,"Kraków, małopolskie"
23,970 000 zł,9965 zł/m²,4 pokoje,97.34 m²,https://www.otodom.pl/pl/oferta/nowy-bielany-97m2-szeregowy-4-pok-43m-ogrod-pcc0-ID4jbAT,"Kraków, Zwierzyniec"
24,1 050 000 zł,10 779 zł/m²,4 pokoje,97.41 m²,https://www.otodom.pl/pl/oferta/nowy-bielany-97m2-szeregowy-4pok-121m-ogrod-pcc0-ID4iWhp,"Kraków, Zwierzyniec, Bielany"
