,Price,Price per m2,Rooms,Size M2,URL,Location
0,849 000 zł,6847 zł/m²,5 pokoi,124 m²,https://www.otodom.pl/pl/oferta/dom-124-m2-z-ogrodkiem-i-garazem-bezposrednio-ID4juMw,"Kraków, Bronowice"
1,2 890 000 zł,13 136 zł/m²,5 pokoi,220 m²,https://www.otodom.pl/pl/oferta/piekny-dom-ul-malownicza-wola-justowska-ID4jdC6,"Kraków, Zwierzyniec, Wola Justowska, ul. Malownicza"
2,1 390 000 zł,8323 zł/m²,5 pokoi,167 m²,https://www.otodom.pl/pl/oferta/gotowy-dom-wysoki-standard-nowoczesna-architektura-ID4jByq,"Kraków, Dębniki, Kliny-Zacisze, ul. prof. Bronisława Geremka"
3,525 000 zł,6799 zł/m²,3 pokoje,77.22 m²,https://www.otodom.pl/pl/oferta/funkcjonalny-dom-z-ogrodem-w-cenie-mieszkania-ID4jEf5,"ul. Grabska, Kraków, małopolskie"
4,1 600 000 zł,9195 zł/m²,4 pokoje,174 m²,https://www.otodom.pl/pl/oferta/blizniak-dom-ul-gorka-narodowa-witkowice-krakow-ID4jvIp,"Kraków, Krowodrza, ul. Górka Narodowa"
5,920 000 zł,5198 zł/m²,6 pokoi,177 m²,https://www.otodom.pl/pl/oferta/dom-w-spokojnej-i-zielonej-okolicy-ID4jmCK,"Kraków, Swoszowice"
6,9 000 000 zł,9000 zł/m²,10+ pokoi,1000 m²,https://www.otodom.pl/pl/oferta/kamienice-stare-miasto-sprzedamy-ID4jE2W,"Kraków, małopolskie"
7,1 549 000 zł,3465 zł/m²,7 pokoi,447 m²,https://www.otodom.pl/pl/oferta/tylko-u-nas-kliny-dom-wolnostojacy-447-m2-ID4iPM3,"Kraków, Dębniki, Kliny-Zacisze, ul. Jana Janowskiego"
8,1 599 000 zł,8460 zł/m²,6 pokoi,189 m²,https://www.otodom.pl/pl/oferta/nowoczesny-dom-6-pokoi-zobacz-wirtualny-spacer-ID4e0cx,"Kraków, Dębniki, Kozienicka"
9,2 300 000 zł,9583 zł/m²,6 pokoi,240 m²,https://www.otodom.pl/pl/oferta/dom-wolnostojacy-12-6a-bronowice-wielkie-ID4jFCB,"Kraków, Prądnik Biały, Bronowice Wielkie, Ojcowska"
10,760 000 zł,5714 zł/m²,5 pokoi,133 m²,https://www.otodom.pl/pl/oferta/dom-gotowy-do-zamieszkania-ID4jGGl,"Kraków, małopolskie"
11,940 000 zł,8103 zł/m²,5 pokoi,116 m²,https://www.otodom.pl/pl/oferta/nowe-domy-w-krakowie-116-m2-ul-miarowa-ID46wbX,"Kraków, Podgórze Duchackie, Kurdwanów, ul. Miarowa"
12,2 999 000 zł,14 589 zł/m²,6 pokoi,205.56 m²,https://www.otodom.pl/pl/oferta/nowoczesny-7m-wys-salon-5-sypialni-dzialka-15-arow-ID4gw8p,"Kraków, Zwierzyniec, Olszanica, ul. Olszanicka"
